Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Africa Eastern and Southern,AFE,1498.80508358802,1490.85968760001,1490.79764777701,1490.70105690211,1483.41565936888,1404.55453762636,1430.42477123168,1444.52296162055,1445.80112832401
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Africa Western and Central,AFW,1882.51880807768,1835.38722851563,1827.85840573529,1830.94562280839,1841.43611582242,1776.47413406784,1801.09277468254,1822.95546017158,1837.21171758696
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Arab World,ARB,6258.60722652973,6350.53133204611,6315.84749940046,6348.44634514788,6324.08975235336,5879.17698534988,6081.27425507157,6320.536509978,6263.55667122628
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Caribbean small states,CSS,11629.1207744449,11593.1842957737,11726.7791329226,11902.2579416699,11898.6645175696,10749.7671642364,11787.7206026029,14352.3454170579,16071.7529221593
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Central Europe and the Baltics,CEB,12528.0826430876,12905.9526304618,13597.8815401223,14298.5480218641,14877.710568059,14399.9831050402,15442.3018009896,16307.9844012834,16383.520643127
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Early-demographic dividend,EAR,3234.22594362502,3331.74275808839,3440.6463665264,3527.04855505727,3566.648876978,3370.59529700952,3588.25797533626,3748.87576565348,3856.95975265872
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,East Asia & Pacific,EAS,9586.05662481986,9962.27714667915,10391.8836377641,10820.1895902044,11189.0858667486,11125.2659313953,11786.0727990529,12100.7252591924,12567.7383948169
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,East Asia & Pacific (excluding high income),EAP,6499.96372015715,6874.96422705733,7280.60316220126,7705.28265410491,8104.87331857854,8167.21290290955,8758.22566243754,9033.87038749055,9471.47665685698
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,East Asia & Pacific (IDA & IBRD),TEA,6572.88955264077,6951.88924757388,7361.80717701258,7791.04264362603,8194.96474827063,8257.94523310723,8855.56282050419,9134.3981231121,9577.02855341935
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Euro area,EMU,34118.3659418664,34657.5873381218,35497.8670418134,36051.2318593564,36586.0235057689,34306.7194629125,36354.4480887668,37450.106599012,37399.9349288204
