country,population,lifeexp,income,continent
Afghanistan,36400000,58.7,1870,Asia
Albania,2930000,78.0,12400,Europe
Algeria,42000000,77.9,13700,Africa
Angola,30800000,65.2,5850,Africa
Antigua and Barbuda,103000,77.6,21000,Americas
Argentina,44700000,77.0,18900,Americas
Armenia,2930000,76.0,8660,Asia
Australia,24800000,82.9,45800,Oceania
Austria,8750000,81.8,44600,Europe
Azerbaijan,9920000,72.3,16600,Asia
Bahamas,399000,74.1,21900,Americas
Bahrain,1570000,77.2,44300,Asia
Bangladesh,166000000,73.4,3720,Asia
Barbados,286000,76.8,16000,Americas
Belarus,9450000,73.8,17200,Europe
Belgium,11500000,81.2,42800,Europe
Belize,382000,72.5,7710,Americas
Benin,11500000,65.0,2170,Africa
Bhutan,817000,74.8,9930,Asia
Bolivia,11200000,74.0,6980,Americas
Bosnia and Herzegovina,3500000,77.9,12100,Europe
Botswana,2330000,66.9,16500,Africa
Brazil,211000000,75.7,14300,Americas
Brunei,434000,77.4,76900,Asia
Bulgaria,7040000,75.3,18900,Europe
Burkina Faso,19800000,61.6,1710,Africa
Burundi,11200000,61.1,691,Africa
Cambodia,16200000,69.3,3830,Asia
Cameroon,24700000,61.2,3170,Africa
Canada,37000000,82.2,43800,Americas
Cape Verde,553000,74.1,6420,Africa
Central African Republic,4740000,51.6,689,Africa
Chad,15400000,60.5,1860,Africa
Chile,18200000,80.7,23400,Americas
China,1420000000,76.9,16000,Asia
Colombia,49500000,78.6,13700,Americas
Comoros,832000,68.0,1440,Africa
"Congo, Dem. Rep.",84000000,62.4,751,Africa
"Congo, Rep.",5400000,63.9,5620,Africa
Costa Rica,4950000,81.4,16200,Americas
Cote d'Ivoire,24900000,61.2,3760,Africa
Croatia,4160000,77.7,22600,Europe
Cuba,11500000,79.3,20000,Americas
Cyprus,1190000,80.8,32200,Asia
Czech Republic,10600000,79.4,32300,Europe
Denmark,5750000,81.1,46600,Europe
Djibouti,971000,67.1,3540,Africa
Dominican Republic,10900000,76.1,15200,Americas
Ecuador,16900000,78.3,10200,Americas
Egypt,99400000,72.6,10800,Africa
El Salvador,6410000,75.8,8290,Americas
Equatorial Guinea,1310000,66.1,20500,Africa
Eritrea,5190000,64.6,1250,Africa
Estonia,1310000,77.7,29500,Europe
Ethiopia,108000000,66.4,1800,Africa
Fiji,912000,65.8,9420,Oceania
Finland,5540000,82.1,40300,Europe
France,65200000,82.6,39000,Europe
Gabon,2070000,67.3,17500,Africa
Gambia,2160000,67.8,1570,Africa
Georgia,3910000,74.3,10100,Asia
Germany,82300000,81.3,45200,Europe
Ghana,29500000,66.6,4380,Africa
Greece,11100000,81.3,25500,Europe
Grenada,108000,71.9,13500,Americas
Guatemala,17200000,73.2,7530,Americas
Guinea,13100000,61.9,1280,Africa
Guinea-Bissau,1910000,59.7,1550,Africa
Guyana,782000,68.2,7740,Americas
Haiti,11100000,64.5,1710,Americas
Honduras,9420000,73.1,4590,Americas
Hungary,9690000,75.9,26900,Europe
Iceland,338000,82.6,47400,Europe
India,1350000000,69.1,6890,Asia
Indonesia,267000000,72.0,11700,Asia
Iran,82000000,76.5,17400,Asia
Iraq,39300000,68.0,15900,Asia
Ireland,4800000,81.5,65600,Europe
Israel,8450000,82.4,33400,Asia
Italy,59300000,82.6,35200,Europe
Jamaica,2900000,75.2,8520,Americas
Japan,127000000,84.2,39100,Asia
Jordan,9900000,76.7,8450,Asia
Kazakhstan,18400000,72.0,24200,Asia
Kenya,51000000,67.3,3110,Africa
Kiribati,118000,62.2,1890,Oceania
Kuwait,4200000,80.0,68400,Asia
Kyrgyz Republic,6130000,71.5,3490,Asia
Lao,6960000,67.9,6310,Asia
Latvia,1930000,75.1,25500,Europe
