"pais","sigla","ano","pib_corrente","pib_gasto_saude","pib_per_capita","pib_per_capita_crescimento","pib_taxa_crescimento","inflacao","expec_vida","expec_vida_homens","expec_vida_mulheres","desemprego_ensino_superior","desemprego_total","controle_corrupcao","acesso_energia_eletrica","cobertura_programas_sociais","acesso_agua_potavel","populacao_acima_65","crescimento_populacao","densidade_populacional","populacao_total","populacao_urbana","populacao_rural"
"Afghanistan","AFG",2010,15856668555.8336,8.56967163,562.499221552971,11.099219918376,14.3624414710737,2.17853752389414,60.851,59.278,62.408,NA,7.914,-1.64539110660553,42.7,NA,19.301139222627,663424,2.89490410370988,43.2204467749107,28189672,23.737,76.263
"Afghanistan","AFG",2011,17805098206.3141,8.56190777,608.738850364613,-3.21136430314944,0.426354776777345,11.8041858089129,61.419,59.825,62.993,NA,7.916,-1.60047078132629,43.2,NA,20.2128842346224,694340,3.68950830230738,44.8448507428361,29249157,23.948,76.052
"Afghanistan","AFG",2012,19907329777.5872,7.89716864,653.417474910283,8.24714425590732,12.7522870926697,6.44121280934117,61.923,60.317,63.514,NA,7.909,-1.43037283420563,69.1,NA,21.1239963442836,728754,4.07762772858795,46.7112506324456,30466479,24.16,75.84
"Afghanistan","AFG",2013,20146416757.5987,8.80596447,638.73318101404,2.00252214576113,5.60074465863221,7.38577178397855,62.417,60.791,64.027,NA,7.919,-1.44596064090729,68,NA,22.0344697184414,758025,3.46678830410982,48.3590282569032,31541209,24.373,75.627
"Afghanistan","AFG",2014,20497128555.6972,9.52887821,626.512929086139,-0.964803330930579,2.72454336219565,4.67399603536305,62.545,60.812,64.274,7.86,7.915,-1.36493408679962,89.5,NA,22.9443007139289,788186,3.65757606530364,50.160541526762,32716210,24.587,75.413
"Afghanistan","AFG",2015,19134221644.7325,10.10534763,566.881129708434,-1.66641641465459,1.45131466066431,-0.66170916471352,62.659,60.76,64.576,NA,9.011,-1.35471308231354,71.5,NA,23.8535895499243,812047,3.12134122890873,51.7509145546816,33753499,24.803,75.197
"Afghanistan","AFG",2016,18116572395.0772,11.81859016,523.053011984748,-0.345802495526272,2.26031420279821,4.38389195513893,63.136,61.193,65.096,NA,10.1,-1.54022777080536,97.7,NA,24.7622201760444,830919,2.58154939895659,53.1042837649295,34636207,25.02,74.98
"Afghanistan","AFG",2017,18753456497.8159,12.62081718,526.140801025756,-0.253593781046973,2.6470032027451,4.97595150553892,63.016,60.105,66.099,15.46,11.184,-1.53007459640503,97.7,NA,25.6714172375918,855377,2.86649214750073,54.6485411587937,35643418,25.25,74.75
"Afghanistan","AFG",2018,18053222687.4126,14.20841885,492.090630986151,-1.68857659163658,1.18922812944517,0.626149149168983,63.081,59.923,66.458,NA,11.206,-1.50287592411041,93.4,NA,26.5813145377719,883085,2.88520797304849,56.2482314520951,36686784,25.495,74.505
"Afghanistan","AFG",2019,18799444490.1128,14.83131981,497.741431256813,0.932833385632875,3.91160341625552,2.30237251516819,63.565,60.619,66.677,NA,11.224,-1.41931009292603,97.7,NA,27.4917341128464,913174,2.90852909268743,57.9082516903546,37769499,25.754,74.246
